FunctionName, RelativePath, CountLineCode, CountPath, Cyclomatic, MaxNesting, Knots, CountInput, CountOutput
window_lines, gnuit-4.9.5\src\window.c, 6, 1, 1, 0, 0, 2, 1
window_x, gnuit-4.9.5\src\window.c, 6, 1, 1, 0, 0, 3, 1
window_y, gnuit-4.9.5\src\window.c, 6, 1, 1, 0, 0, 2, 1
strtol, gnuit-4.9.5\lib\strtol.c, 6, 1, 1, 0, 0, 4, 2
bkm_scale, gnuit-4.9.5\lib\xstrtol.c, 16, 3, 3, 1, 2, 4, 2
bkm_scale_by_power, gnuit-4.9.5\lib\xstrtol.c, 8, 2, 2, 1, 0, 4, 2
xstrtol, gnuit-4.9.5\lib\xstrtol.c, 118, 1160, 34, 4, 104, 4, 9
gettime, gnuit-4.9.5\lib\gettime.c, 10, 1, 1, 0, 0, 0, 0
timespec_cmp, gnuit-4.9.5\lib\timespec.h, 7, 1, 3, 0, 0, 4, 1
alloca, gnuit-4.9.5\lib\alloca.c, 37, 24, 7, 2, 6, 6, 9
find_stack_direction, gnuit-4.9.5\lib\alloca.c, 18, 3, 3, 2, 2, 1, 1
tilde_expand_word, gnuit-4.9.5\src\tilde.c, 71, 14, 11, 4, 4, 3, 11
tilde_find_prefix, gnuit-4.9.5\src\tilde.c, 27, 6, 6, 4, 7, 4, 4
tilde_find_suffix, gnuit-4.9.5\src\tilde.c, 19, 7, 5, 3, 8, 3, 3
getgidbyname, gnuit-4.9.5\lib\idcache.c, 25, 5, 4, 2, 3, 4, 7
getuidbyname, gnuit-4.9.5\lib\idcache.c, 25, 5, 4, 2, 3, 4, 7
dcnpgettext_expr, gnuit-4.9.5\lib\gettext.h, 27, 5, 7, 2, 2, 6, 5
dcpgettext_expr, gnuit-4.9.5\lib\gettext.h, 26, 5, 5, 2, 2, 4, 5
npgettext_aux, gnuit-4.9.5\lib\gettext.h, 13, 2, 4, 1, 1, 6, 1
pgettext_aux, gnuit-4.9.5\lib\gettext.h, 11, 2, 2, 1, 1, 4, 1
mkstemp, gnuit-4.9.5\lib\mkstemp.c, 6, 1, 1, 0, 0, 4, 2
orig_open, gnuit-4.9.5\lib\open.c, 5, 1, 1, 0, 0, 0, 1
mmalloca, gnuit-4.9.5\lib\malloca.c, 7, 2, 2, 1, 0, 3, 2
mb_copy, gnuit-4.9.5\lib\mbchar.h, 14, 4, 3, 1, 1, 9, 6
mbuiter_multi_next, gnuit-4.9.5\lib\mbuiter.h, 46, 15, 8, 3, 6, 11, 14
knuth_morris_pratt_unibyte, gnuit-4.9.5\lib\str-kmp.h, 65, 31, 12, 3, 10, 3, 5
strnlen, gnuit-4.9.5\lib\strnlen.c, 6, 1, 2, 0, 0, 4, 2
knuth_morris_pratt_multibyte, gnuit-4.9.5\lib\mbsstr.c, 83, 97, 18, 4, 24, 9, 14
mbslen, gnuit-4.9.5\lib\mbslen.c, 15, 3, 3, 2, 1, 7, 9
mbsstr, gnuit-4.9.5\lib\mbsstr.c, 131, 88, 30, 6, 73, 8, 14
locale_charset, gnuit-4.9.5\lib\localcharset.c, 23, 12, 5, 2, 2, 1, 6
