FunctionName, RelativePath,NumberOfBugs
fill_words, bash-4.2\support\man2html.c, 0
flush, bash-4.2\support\man2html.c, 0
lookup_abbrev, bash-4.2\support\man2html.c, 0
j_strsignal, bash-4.2\nojobs.c, 0
next_row, bash-4.2\support\man2html.c, 0
out_html, bash-4.2\support\man2html.c, 0
outputPageFooter, bash-4.2\support\man2html.c, 0
outputPageHeader, bash-4.2\support\man2html.c, 0
print_sig, bash-4.2\support\man2html.c, 0
read_man_page, bash-4.2\support\man2html.c, 0
scan_escape, bash-4.2\support\man2html.c, 0
scan_expression, bash-4.2\support\man2html.c, 0
scan_format, bash-4.2\support\man2html.c, 0
scan_request, bash-4.2\support\man2html.c, 0
scan_table, bash-4.2\support\man2html.c, 0
scan_troff, bash-4.2\support\man2html.c, 0
scan_troff_mandoc, bash-4.2\support\man2html.c, 0
skip_till_newline, bash-4.2\support\man2html.c, 0
stralloc, bash-4.2\support\man2html.c, 0
strduplicate, bash-4.2\support\man2html.c, 0
strerror, bash-4.2\support\man2html.c, 0
strgrow, bash-4.2\support\man2html.c, 0
strlimitcpy, bash-4.2\support\man2html.c, 0
strmaxcat, bash-4.2\support\man2html.c, 0
strmaxcpy, bash-4.2\support\man2html.c, 0
trans_char, bash-4.2\support\man2html.c, 0
unescape, bash-4.2\support\man2html.c, 0
unfreeze_jobs_list, bash-4.2\nojobs.c, 0
mbschr, bash-4.2\lib\sh\mbschr.c, 0
bcoalesce, bash-4.2\lib\malloc\malloc.c, 0
botch, bash-4.2\lib\malloc\malloc.c, 0
bsplit, bash-4.2\lib\malloc\malloc.c, 0
calloc, bash-4.2\lib\malloc\malloc.c, 0
cfree, bash-4.2\lib\malloc\malloc.c, 0
internal_calloc, bash-4.2\lib\malloc\malloc.c, 0
internal_cfree, bash-4.2\lib\malloc\malloc.c, 0
internal_free, bash-4.2\lib\malloc\malloc.c, 0
internal_malloc, bash-4.2\lib\malloc\malloc.c, 0
internal_memalign, bash-4.2\lib\malloc\malloc.c, 0
internal_realloc, bash-4.2\lib\malloc\malloc.c, 0
internal_valloc, bash-4.2\lib\malloc\malloc.c, 0
lesscore, bash-4.2\lib\malloc\malloc.c, 0
malloc_debug_dummy, bash-4.2\lib\malloc\malloc.c, 0
memalign, bash-4.2\lib\malloc\malloc.c, 0
morecore, bash-4.2\lib\malloc\malloc.c, 0
pagealign, bash-4.2\lib\malloc\malloc.c, 0
sh_calloc, bash-4.2\lib\malloc\malloc.c, 0
sh_cfree, bash-4.2\lib\malloc\malloc.c, 0
sh_free, bash-4.2\lib\malloc\malloc.c, 0
sh_malloc, bash-4.2\lib\malloc\malloc.c, 0
sh_memalign, bash-4.2\lib\malloc\malloc.c, 0
sh_realloc, bash-4.2\lib\malloc\malloc.c, 0
sh_valloc, bash-4.2\lib\malloc\malloc.c, 0
valloc, bash-4.2\lib\malloc\malloc.c, 0
xbotch, bash-4.2\lib\malloc\malloc.c, 0
xsplit, bash-4.2\lib\malloc\malloc.c, 0
libintl_bind_textdomain_codeset, bash-4.2\lib\intl\bindtextdom.c, 0
libintl_bindtextdomain, bash-4.2\lib\intl\bindtextdom.c, 0
set_binding_values, bash-4.2\lib\intl\bindtextdom.c, 0
sh_getopt, bash-4.2\builtins\getopt.c, 0
sh_getopt_restore_state, bash-4.2\builtins\getopt.c, 0
close_fd_bitmap, bash-4.2\execute_cmd.c, 0
dispose_exec_redirects, bash-4.2\execute_cmd.c, 0
dispose_fd_bitmap, bash-4.2\execute_cmd.c, 0
execute_command, bash-4.2\execute_cmd.c, 0
execute_command_internal, bash-4.2\execute_cmd.h, 0
execute_shell_function, bash-4.2\execute_cmd.c, 0
executing_line_number, bash-4.2\execute_cmd.c, 0
new_fd_bitmap, bash-4.2\execute_cmd.c, 0
setup_async_signals, bash-4.2\execute_cmd.h, 0
shell_execve, bash-4.2\execute_cmd.h, 0
rl_clear_pending_input, bash-4.2\lib\readline\input.c, 0
rl_forced_update_display, bash-4.2\lib\readline\display.c, 0
_rl_replace_text, bash-4.2\lib\readline\text.c, 0
_rl_reset_argument, bash-4.2\lib\readline\misc.c, 0
_rl_set_the_line, bash-4.2\lib\readline\readline.c, 0
strerror, bash-4.2\lib\sh\strerror.c, 0
_rl_digit_p, bash-4.2\lib\readline\util.c, 0
_rl_digit_value, bash-4.2\lib\readline\util.c, 0
_rl_lowercase_p, bash-4.2\lib\readline\util.c, 0
_rl_null_function, bash-4.2\lib\readline\util.c, 0
_rl_pure_alphabetic, bash-4.2\lib\readline\util.c, 0
_rl_qsort_string_compare, bash-4.2\lib\readline\util.c, 0
_rl_savestring, bash-4.2\lib\readline\util.c, 0
_rl_strindex, bash-4.2\lib\readline\util.c, 0
_rl_to_lower, bash-4.2\lib\readline\util.c, 0
_rl_to_upper, bash-4.2\lib\readline\util.c, 0
_rl_ttymsg, bash-4.2\lib\readline\util.c, 0
_rl_uppercase_p, bash-4.2\lib\readline\util.c, 0
rl_abort, bash-4.2\lib\readline\util.c, 0
rl_alphabetic, bash-4.2\lib\readline\util.c, 0
rl_copy_text, bash-4.2\lib\readline\util.c, 0
rl_extend_line_buffer, bash-4.2\lib\readline\util.c, 0
rl_free, bash-4.2\lib\readline\util.c, 0
rl_tty_status, bash-4.2\lib\readline\util.c, 0
initialize_siglist, bash-4.2\siglist.c, 0
fcopy, bash-4.2\examples\loadables\cat.c, 0
get_current_prompt_level, bash-4.2\y.tab.c, 0
